TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG
25.0,32.0,28.5,73.0,0.0,2.0,4.0,150.0,2.0
24.0,27.0,26.0,88.0,2.6,0.0,4.0,90.0,1.0
25.0,31.8,27.6,79.0,0.3,4.5,5.0,90.0,1.0
25.0,32.7,27.8,78.0,0.2,3.0,5.0,50.0,3.0
25.0,28.8,26.4,86.0,0.0,0.0,5.0,90.0,2.0
25.0,30.6,26.6,81.0,10.6,6.5,5.0,90.0,2.0
24.0,31.2,26.9,78.0,0.8,1.0,4.0,90.0,1.0
24.0,32.4,27.6,78.0,1.6,5.5,5.0,90.0,2.0
25.0,32.6,27.4,77.0,0.0,6.5,4.0,60.0,2.0
24.0,31.4,28.4,73.0,0.0,6.5,5.0,180.0,2.0
25.0,32.0,27.8,71.0,0.0,5.3,4.0,20.0,1.0
25.0,32.4,27.5,71.0,0.0,2.0,3.0,20.0,1.0
25.0,31.6,27.8,76.0,7.3,5.0,4.0,360.0,2.0
25.0,30.9,27.4,82.0,6.6,5.0,3.8,236.1,1.0
26.0,32.0,28.3,73.0,0.0,4.5,5.0,40.0,2.0
25.0,30.8,27.5,82.0,3.8,4.5,4.0,150.0,1.0
25.0,32.0,27.6,80.0,0.0,4.0,4.0,80.0,1.0
25.0,32.2,28.5,73.0,0.0,2.3,5.0,260.0,1.0
25.0,33.4,28.2,77.0,0.0,7.5,5.0,260.0,1.0
24.0,32.1,28.1,79.0,2.4,4.4,3.0,90.0,0.0
25.0,31.6,27.7,79.0,0.0,8.0,4.0,20.0,1.0
26.0,32.0,28.3,78.0,0.0,8.0,4.0,340.0,1.0
26.0,32.4,28.4,80.0,1.7,7.0,4.0,360.0,2.0
24.0,31.1,27.8,81.0,0.0,2.5,3.0,110.0,1.0
25.0,33.2,28.3,78.0,0.0,7.8,4.0,90.0,1.0
25.0,33.2,28.2,72.0,0.0,8.0,4.0,50.0,1.0
25.0,32.6,28.4,75.0,0.0,7.8,4.0,70.0,2.0
25.0,32.4,27.8,81.0,2.0,1.5,4.0,20.0,1.0
25.0,32.8,28.0,76.0,0.0,8.0,3.0,40.0,0.0
25.0,31.2,27.3,81.0,0.0,2.6,4.0,90.0,1.0
26.0,31.8,28.2,79.0,0.0,8.0,5.0,90.0,2.0
25.0,32.7,28.4,70.0,0.0,8.0,6.0,90.0,3.0
25.0,33.4,28.2,77.0,0.0,8.0,4.0,100.0,2.0
26.0,31.7,27.9,74.0,0.0,1.5,5.0,60.0,2.0
25.0,32.8,28.8,78.0,0.0,7.9,5.0,80.0,1.0
25.0,32.6,28.7,72.0,0.0,8.0,5.0,40.0,2.0
25.0,33.0,27.8,67.0,0.0,8.0,4.0,350.0,2.0
25.0,32.6,28.0,75.0,0.0,8.0,5.0,80.0,2.0
25.0,32.9,28.1,74.0,0.0,8.0,5.0,90.0,2.0
25.0,31.6,28.2,72.0,0.0,2.3,6.0,100.0,2.0
25.0,32.0,28.4,70.0,0.0,4.0,4.0,60.0,1.0
25.0,31.6,28.0,80.0,1.0,2.0,3.0,350.0,1.0
25.0,32.0,27.6,77.0,0.0,5.0,6.0,90.0,2.0
26.0,33.9,28.4,72.0,0.0,8.0,6.0,80.0,2.0
25.0,32.2,28.2,74.0,0.0,2.2,5.0,200.0,2.0
26.0,31.2,28.1,72.0,0.2,3.5,4.0,150.0,2.0
24.0,31.1,27.3,80.0,27.6,1.0,3.0,360.0,2.0
